# ECOS引用分析 — 生成时间: 2026-07-17
# 格式: 类名 | 引用者模块 | 引用次数

Component | 36 modules
ISystemDatabaseAccess | 15 modules
DataSourceEntity | 12 modules
MetadataService | 9 modules
AgentResult | 9 modules
Version | 6 modules
Metadata | 6 modules
SystemVariable | 5 modules
IConfigService | 5 modules
GitService | 5 modules
ConfigDao | 5 modules
GitRepository | 4 modules
ConfigException | 4 modules
GitRepositoryService | 3 modules
DataFrame | 3 modules
AgentRegistryRepository | 3 modules
AgentRegistryEntity | 3 modules
TransformStep | 2 modules
Tool | 2 modules
MyBatisConfig | 2 modules
MissionTaskRepository | 2 modules
MissionTaskEntity | 2 modules
MissionRepository | 2 modules
MissionExecutionEngine | 2 modules
MissionEntity | 2 modules
KnowledgeNode | 2 modules
KnowledgeGraphService | 2 modules
KnowledgeEdge | 2 modules
ISystemVariableService | 2 modules
ILoggingService | 2 modules
ArchitectureTest | 2 modules
TypeConversionStep | 1 modules
TransformResult | 1 modules
TransformChainImpl | 1 modules
TransformChain | 1 modules
SystemDatabaseAccessImpl | 1 modules
SpringMessageSourceImpl | 1 modules
QualityRuleProvider | 1 modules
QualityRule | 1 modules
QualityResult | 1 modules
PolicyEnforcementPoint | 1 modules
PolicyDecisionPoint | 1 modules
LoggingServiceConfig | 1 modules
LogQueryCondition | 1 modules
LogEntry | 1 modules
I18nUtils | 1 modules
I18nMessageSourceImpl | 1 modules
I18nMessageSource | 1 modules
FieldMappingStep | 1 modules
DataValidationStep | 1 modules
DataSourceServiceImpl | 1 modules
DataCleansingStep | 1 modules
DataAggregationStep | 1 modules
ConfigServiceImpl | 1 modules
ConfigDaoImpl | 1 modules
CalculatorStep | 1 modules
Apply | 1 modules
AlertRule | 1 modules
AgentConfig | 1 modules
# 格式: 类名 | 引用者模块 | 引用次数
# ECOS引用分析 — 生成时间: 2026-07-17

